claim_id,claim_date,sale_id,repair_status
82,2021-11-17,200624,Repaired
83,2019-12-28,789327,Warranty Void
84,2022-05-04,8056,Repaired
85,2018-10-03,536278,Repaired
86,2023-02-05,492411,Paid Repaired
87,2024-12-06,734035,Paid Repaired
88,2021-01-03,386302,Repaired
89,2024-08-14,327966,Paid Repaired
90,2018-05-06,630360,Warranty Void
91,2024-12-02,804202,Paid Repaired
92,2021-08-01,735872,Replacement
93,2022-04-26,450937,Paid Repaired
94,2023-03-18,328210,Repaired
95,2024-10-04,163444,Replacement
96,2022-12-21,303319,Replacement
97,2021-12-14,24946,Paid Repaired
98,2020-09-20,815111,Warranty Void
99,2022-08-03,93468,Warranty Void
100,2019-05-24,760744,Repaired
101,2023-04-20,155102,Warranty Void
102,2023-05-05,416529,Repaired
103,2023-06-09,636118,Paid Repaired
104,2024-01-15,157157,Warranty Void
105,2022-08-16,797565,Repaired
106,2022-12-14,883540,Repaired
107,2020-10-13,895060,Paid Repaired
108,2020-02-01,452916,Repaired
109,2023-12-18,872748,Repaired
110,2024-12-31,102552,Repaired
111,2020-11-15,163899,Warranty Void
112,2022-04-10,83810,Repaired
113,2023-01-22,85815,Replacement
114,2021-08-21,192251,Replacement
115,2024-08-16,474729,Paid Repaired
116,2021-07-16,472650,Paid Repaired
117,2019-05-19,252696,Paid Repaired
118,2024-04-22,467657,Replacement
119,2021-07-31,486559,Replacement
120,2019-01-30,773363,Replacement
121,2024-12-31,498477,Repaired
122,2018-04-14,279428,Paid Repaired
123,2019-03-06,206326,Repaired
124,2024-12-31,279711,Replacement
125,2020-12-12,182557,Paid Repaired
126,2018-10-03,390156,Repaired
127,2019-12-25,402785,Repaired
128,2019-08-02,285126,Replacement
129,2023-02-28,221621,Warranty Void
130,2022-11-01,508499,Replacement
131,2023-03-05,65776,Repaired
132,2022-07-06,116655,Paid Repaired
133,2018-07-20,331489,Repaired
134,2021-02-11,898461,Repaired
135,2024-10-17,879010,Warranty Void
136,2024-01-04,153459,Warranty Void
137,2024-03-15,108112,Paid Repaired
138,2019-05-05,454183,Paid Repaired
139,2020-03-01,117626,Repaired
140,2021-02-09,815436,Replacement
141,2020-02-20,793549,Warranty Void
142,2018-10-30,138632,Repaired
143,2020-07-30,141193,Warranty Void
144,2023-08-20,972355,Repaired
145,2022-10-08,267496,Warranty Void
146,2018-09-08,307204,Repaired
147,2024-06-22,986191,Paid Repaired
148,2020-12-03,844416,Replacement
149,2020-09-14,878449,Replacement
150,2024-12-31,369273,Repaired
151,2019-06-14,12116,Paid Repaired
152,2024-12-31,276328,Repaired
153,2023-08-11,369818,Repaired
154,2022-01-09,75960,Replacement
155,2022-08-24,738163,Paid Repaired
156,2020-08-22,77766,Repaired
157,2021-07-14,205210,Paid Repaired
158,2018-06-17,579289,Repaired
159,2022-03-07,506280,Replacement
160,2020-10-23,382611,Warranty Void
161,2020-07-23,778426,Paid Repaired
162,2020-05-22,974557,Warranty Void
163,2023-05-04,552994,Repaired
164,2021-04-21,107014,Paid Repaired
165,2020-01-30,786417,Repaired
166,2023-04-02,98719,Paid Repaired
167,2018-12-03,584125,Paid Repaired
168,2019-01-26,809426,Paid Repaired
169,2023-12-21,641233,Paid Repaired
170,2019-10-09,728083,Replacement
171,2018-06-28,266070,Repaired
172,2021-02-02,785099,In Progress
173,2019-06-14,309562,Warranty Void
174,2023-10-14,417097,Repaired
175,2020-04-26,925433,Repaired
176,2024-02-05,646049,Repaired
177,2020-04-30,489594,Warranty Void
178,2021-02-03,943205,Paid Repaired
179,2023-09-13,768377,Repaired
180,2019-06-13,678389,Warranty Void
181,2023-05-06,305004,Paid Repaired
182,2024-12-31,865193,Warranty Void
183,2023-12-04,555361,Paid Repaired
184,2024-12-12,718972,Replacement
185,2023-06-28,779165,Repaired
186,2021-01-13,689194,Warranty Void
187,2019-04-09,731215,Warranty Void
188,2024-09-22,165825,Paid Repaired
189,2018-11-21,484166,Repaired
190,2019-03-05,123973,Paid Repaired
191,2018-08-21,986724,Repaired
192,2021-07-06,361481,Repaired
193,2019-09-22,705608,Repaired
194,2021-04-10,323996,Repaired
195,2022-05-26,175385,Repaired
196,2022-01-22,243016,Repaired
197,2020-01-07,285366,Repaired
198,2023-12-20,855510,Replacement
199,2022-01-23,671207,Repaired
200,2023-11-18,57316,Paid Repaired
201,2022-11-02,437190,Warranty Void
202,2022-06-24,809601,Warranty Void
203,2021-06-07,490746,Replacement
204,2021-05-21,153373,Repaired
205,2018-12-05,596404,Repaired
206,2019-01-26,230116,Warranty Void
207,2022-04-01,927945,Paid Repaired
208,2024-11-19,74533,Paid Repaired
209,2018-11-20,420939,Replacement
210,2023-08-21,779905,Repaired
211,2019-07-25,214305,Warranty Void
212,2022-02-03,301908,In Progress
213,2024-12-31,543212,In Progress
214,2024-12-31,820936,Repaired
215,2024-05-13,694253,Warranty Void
216,2023-12-12,936734,Repaired
217,2022-01-17,618418,Warranty Void
218,2022-02-15,813608,Paid Repaired
219,2022-07-31,115521,Replacement
220,2022-08-17,547418,Replacement
221,2023-04-02,410361,Paid Repaired
222,2024-12-31,761470,Warranty Void
223,2019-12-24,147321,Paid Repaired
224,2020-12-31,154465,Replacement
225,2024-07-25,76392,Replacement
226,2021-05-04,656814,Warranty Void
227,2024-12-31,247066,Warranty Void
228,2022-10-15,710778,Warranty Void
229,2019-07-01,234508,Paid Repaired
230,2019-09-03,540453,Replacement
231,2019-12-27,661449,Repaired
232,2020-08-02,660989,Replacement
233,2022-10-28,313976,Replacement
234,2020-02-09,584357,Replacement
235,2020-04-06,194149,Replacement
236,2021-11-26,20818,Paid Repaired
237,2024-05-15,32277,Replacement
238,2021-05-26,752456,Repaired
239,2019-12-28,945825,Replacement
240,2022-06-12,826260,Warranty Void
241,2022-02-16,522196,Warranty Void
242,2020-11-24,530448,Replacement
243,2024-06-14,910104,Repaired
244,2022-12-10,279749,Warranty Void
245,2021-07-08,447924,Repaired
246,2021-08-10,476936,Paid Repaired
247,2024-01-31,466577,Paid Repaired
248,2021-09-17,912067,Warranty Void
249,2020-05-14,134476,Repaired
250,2023-08-25,408952,Repaired
251,2019-12-12,62340,Replacement
252,2020-08-12,718275,In Progress
253,2022-02-28,460065,Replacement
254,2019-10-04,474083,Replacement
255,2020-10-27,398142,In Progress
256,2023-09-23,59047,Warranty Void
257,2021-01-23,726407,Replacement
258,2023-08-30,217977,Repaired
259,2023-11-05,773753,Warranty Void
260,2024-10-25,156891,Warranty Void
261,2019-11-03,690314,Paid Repaired
262,2022-12-02,473735,Replacement
263,2019-01-01,548747,Warranty Void
264,2024-12-31,675812,Repaired
265,2024-09-02,796413,Paid Repaired
266,2019-09-06,297361,Paid Repaired
267,2023-12-23,203361,Replacement
268,2018-12-30,441742,Repaired
269,2024-07-06,580565,In Progress
270,2022-03-19,871547,Repaired
271,2023-06-21,130639,Replacement
272,2022-12-30,44703,Paid Repaired
273,2021-10-15,698060,Repaired
274,2022-09-16,152966,Paid Repaired
275,2018-11-17,567898,Paid Repaired
276,2023-01-09,181197,Paid Repaired
277,2018-05-15,683831,Paid Repaired
278,2024-12-31,34341,Paid Repaired
279,2023-07-02,769704,Warranty Void
280,2020-12-24,771798,Paid Repaired
281,2019-11-10,442224,Paid Repaired
282,2022-07-21,715810,Repaired
283,2022-09-02,917342,Replacement
284,2019-12-13,410383,Replacement
285,2018-12-25,470401,Warranty Void
286,2022-08-15,296274,Repaired
287,2018-03-21,179040,Repaired
288,2021-11-08,848857,Paid Repaired
289,2020-03-30,495649,Paid Repaired
290,2021-04-09,58806,Repaired
291,2019-02-01,495537,Repaired
292,2024-10-07,502546,Paid Repaired
293,2023-03-03,622492,Replacement
294,2019-06-02,383769,Repaired
295,2018-09-01,172094,Replacement
296,2019-11-02,770050,Replacement
297,2018-09-18,162906,Repaired
298,2023-10-29,585927,In Progress
299,2023-07-07,734303,Paid Repaired
300,2018-07-28,614476,Repaired
301,2024-12-06,44516,Replacement
302,2023-05-04,375447,Repaired
303,2019-05-25,167307,Replacement
304,2019-10-12,524002,Replacement
305,2023-10-24,465387,Warranty Void
306,2022-02-18,501669,Warranty Void
307,2024-12-31,864536,Replacement
308,2019-02-27,865338,Repaired
309,2024-12-02,145441,Paid Repaired
310,2019-05-05,146515,Repaired
311,2024-01-10,691326,Replacement
312,2022-09-26,601517,Warranty Void
313,2023-03-07,525081,Replacement
314,2022-12-26,212441,In Progress
315,2024-06-17,830294,Repaired
316,2024-08-29,285951,Warranty Void
317,2024-09-22,695002,Repaired
318,2019-09-29,357971,Warranty Void
319,2022-07-09,195887,Replacement
320,2024-12-31,737860,Paid Repaired
321,2024-02-05,8503,Repaired
322,2020-11-26,853437,Repaired
323,2018-02-17,191696,Warranty Void
324,2020-02-28,818425,Replacement
325,2019-08-14,351788,Repaired
326,2021-06-07,571903,Repaired
327,2024-12-31,736719,Paid Repaired
328,2019-07-10,128178,Paid Repaired
329,2018-09-23,85195,Replacement
330,2022-12-17,457444,Replacement
331,2021-01-25,811836,Repaired
332,2024-12-31,505000,Paid Repaired
333,2024-05-15,85219,Repaired
334,2020-08-20,928533,Paid Repaired
335,2019-05-13,105450,Repaired
336,2018-07-30,939491,Warranty Void
337,2019-11-18,583920,Replacement
338,2024-12-10,616830,Repaired
339,2022-04-11,248055,Paid Repaired
340,2021-01-06,581429,Paid Repaired
341,2019-07-04,634021,Replacement
342,2023-05-07,816493,Paid Repaired
343,2020-01-10,212852,Warranty Void
344,2021-08-16,933399,Warranty Void
345,2020-05-30,495777,Warranty Void
346,2023-12-21,665323,Paid Repaired
347,2024-12-06,298042,Paid Repaired
348,2023-04-23,81832,Repaired
349,2019-02-24,242858,Repaired
350,2024-06-23,408781,Replacement
351,2022-04-07,765634,Replacement
352,2021-09-02,313739,Warranty Void
353,2023-03-06,838170,Paid Repaired
354,2023-02-19,26247,Repaired
355,2018-12-20,500475,Warranty Void
356,2018-08-03,666479,Repaired
357,2022-01-02,583554,Replacement
358,2018-08-14,809400,In Progress
359,2021-04-17,396810,Replacement
360,2022-03-02,790678,Replacement
361,2024-12-31,89886,Repaired
362,2021-12-02,243862,Paid Repaired
363,2019-12-27,348784,In Progress
364,2021-04-06,103126,Repaired
365,2024-03-31,183841,Replacement
366,2024-02-22,609186,Repaired
367,2022-07-24,10215,Replacement
368,2021-12-29,436347,Paid Repaired
369,2022-10-02,935188,Warranty Void
370,2019-03-20,978959,Warranty Void
371,2021-10-04,505443,Replacement
372,2021-12-14,504378,Warranty Void
373,2018-07-11,943501,Repaired
374,2020-04-29,854701,Repaired
375,2019-08-14,690062,Paid Repaired
376,2020-03-29,718876,Repaired
377,2024-12-31,159153,Repaired
378,2021-12-07,671144,In Progress
379,2023-01-20,983727,Repaired
380,2024-11-10,824344,Repaired
381,2023-06-30,626415,Replacement
382,2024-08-23,187983,Warranty Void
383,2021-09-04,42844,Paid Repaired
384,2020-03-25,648146,Paid Repaired
385,2020-04-21,458440,In Progress
386,2024-12-31,946810,Paid Repaired
387,2024-12-31,41721,Paid Repaired
388,2024-09-01,529821,Paid Repaired
389,2024-12-31,68292,Warranty Void
390,2024-12-31,564162,Repaired
391,2024-11-11,84801,Replacement
392,2020-01-16,300515,Replacement
393,2022-06-22,877783,Paid Repaired
394,2022-12-24,808243,Replacement
395,2021-06-08,715827,Warranty Void
396,2021-07-24,145954,Paid Repaired
397,2019-01-20,728815,Paid Repaired
398,2018-08-11,72777,Repaired
399,2021-07-22,726636,Repaired
400,2018-03-31,672953,Repaired
401,2022-01-02,958633,Repaired
402,2023-11-22,605365,Repaired
403,2023-03-30,696082,Replacement
404,2021-06-27,129904,Paid Repaired
405,2020-01-29,199114,Paid Repaired
406,2021-05-05,525256,Paid Repaired
407,2022-12-18,627886,Replacement
408,2022-01-10,371619,Replacement
409,2019-07-21,785146,Warranty Void
410,2021-01-05,964906,Repaired
411,2024-12-31,482352,Repaired
412,2019-10-28,134573,In Progress
413,2020-12-08,45458,Repaired
414,2021-09-30,432682,Repaired
415,2018-12-29,410449,Paid Repaired
416,2019-12-25,930923,Repaired
417,2022-06-14,824859,Replacement
418,2020-02-20,292539,Replacement
419,2019-03-28,483012,Paid Repaired
420,2020-02-08,331311,Repaired
421,2020-04-08,930436,Paid Repaired
422,2024-12-31,598395,Warranty Void
423,2023-03-14,846584,Paid Repaired
424,2021-04-24,990013,Paid Repaired
425,2021-07-22,833852,Paid Repaired
426,2020-05-15,114700,Paid Repaired
427,2024-12-31,313913,Replacement
428,2024-08-27,737741,Replacement
429,2019-10-12,686931,Repaired
430,2024-11-21,134150,Paid Repaired
431,2024-12-31,678059,Repaired
432,2019-04-24,604162,Repaired
433,2024-06-15,650184,Repaired
434,2021-10-20,315048,Paid Repaired
435,2021-10-17,680799,Paid Repaired
436,2021-02-12,213313,Paid Repaired
437,2021-11-22,83142,Paid Repaired
438,2022-05-11,401715,Paid Repaired
439,2022-12-23,102476,Repaired
440,2021-11-13,163711,Warranty Void
441,2021-02-17,940994,Paid Repaired
442,2019-11-16,347898,Paid Repaired
443,2024-12-31,796212,Paid Repaired
444,2022-12-16,95473,In Progress
445,2019-06-26,833131,Paid Repaired
446,2019-05-15,756397,Paid Repaired
447,2024-07-13,636383,Warranty Void
448,2024-05-21,343450,Paid Repaired
449,2022-07-16,686211,Warranty Void
450,2021-05-18,600171,In Progress
451,2022-10-23,461881,Repaired
452,2022-08-24,158253,Repaired
453,2024-05-19,479246,Paid Repaired
454,2018-08-27,681087,Paid Repaired
455,2021-12-26,597350,Repaired
456,2022-12-26,170818,Repaired
457,2024-02-06,398143,Repaired
458,2023-01-28,394301,Paid Repaired
459,2024-01-21,671360,Repaired
460,2024-12-31,696924,Repaired
461,2024-10-24,914755,Repaired
462,2023-04-06,326691,Replacement
463,2022-05-24,88303,Repaired
464,2023-06-29,493954,Replacement
465,2022-04-11,553657,Paid Repaired
466,2024-12-31,484118,Warranty Void
467,2020-01-05,638549,Repaired
468,2018-05-03,532576,Repaired
469,2024-05-01,248016,Repaired
470,2019-03-24,883374,Replacement
471,2024-12-31,635167,Replacement
472,2021-07-01,239475,Repaired
473,2021-11-28,448072,Paid Repaired
474,2022-01-22,89664,Paid Repaired
475,2020-02-22,543177,Replacement
476,2019-03-30,907976,Paid Repaired
477,2022-11-15,890199,Paid Repaired
478,2022-10-24,86484,Paid Repaired
479,2024-05-08,471495,Replacement
480,2021-03-05,301660,Replacement
481,2021-05-30,137245,Replacement
482,2018-10-08,267564,Replacement
483,2021-04-08,729703,Replacement
484,2019-10-08,65209,In Progress
485,2019-01-16,226278,Repaired
486,2022-06-04,755211,Paid Repaired
487,2019-02-18,983823,Warranty Void
488,2022-02-20,943359,Repaired
489,2022-11-21,435701,Repaired
490,2024-12-31,550297,Replacement
491,2018-07-22,853728,Replacement
492,2019-12-25,290146,Paid Repaired
493,2023-11-29,81438,Replacement
494,2019-05-28,414235,Replacement
495,2022-08-01,907869,Repaired
496,2020-01-26,681328,Paid Repaired
497,2024-01-02,248348,Replacement
498,2023-04-02,301103,Replacement
499,2020-09-15,699536,Paid Repaired
500,2018-05-26,655984,Repaired
501,2024-12-31,15771,Replacement
502,2018-08-08,259144,Repaired
503,2019-03-14,435594,Replacement
504,2021-04-19,150801,Paid Repaired
505,2021-09-05,453339,Paid Repaired
506,2020-12-03,911706,In Progress
507,2024-12-31,191374,Warranty Void
508,2023-07-03,145614,In Progress
509,2023-11-07,634458,Paid Repaired
510,2020-07-13,383048,Repaired
511,2020-09-28,691135,Repaired
512,2022-05-17,833140,Replacement
513,2022-02-21,278989,Replacement
514,2021-07-02,182956,Repaired
515,2024-11-21,12239,Repaired
516,2023-11-26,100041,Replacement
517,2018-10-05,685441,Warranty Void
518,2023-08-06,334767,Repaired
519,2022-09-01,957772,Repaired
520,2020-09-21,274639,Paid Repaired
521,2023-04-18,328620,Repaired
522,2020-04-23,648629,Repaired
523,2021-05-10,865179,In Progress
524,2018-11-28,505613,Paid Repaired
525,2023-11-29,822732,Repaired
526,2019-09-11,875992,Repaired
527,2024-11-30,613203,Repaired
528,2024-10-30,987014,Repaired
529,2024-11-15,255747,Paid Repaired
530,2020-11-09,304155,Warranty Void
531,2023-01-24,617856,Repaired
532,2024-12-31,879661,Repaired
533,2020-04-14,569553,Warranty Void
534,2019-06-28,522629,Repaired
535,2021-07-09,320507,Replacement
536,2024-12-31,198064,Warranty Void
537,2020-03-23,583217,In Progress
538,2022-06-28,874021,Warranty Void
539,2021-03-09,832376,Warranty Void
540,2022-06-22,530463,Repaired
541,2020-10-03,747616,Repaired
542,2024-12-31,795880,Warranty Void
543,2022-07-19,79483,Repaired
544,2019-03-27,794649,Paid Repaired
545,2019-02-11,859199,Paid Repaired
546,2021-03-19,629314,Repaired
547,2024-08-22,536088,Paid Repaired
548,2018-09-26,82470,Replacement
549,2024-12-31,728,In Progress
550,2021-07-16,754194,Repaired
551,2021-11-25,933597,Replacement
552,2020-11-08,400029,Repaired
553,2019-06-04,363140,In Progress
554,2023-10-17,190382,Repaired
555,2021-12-25,895138,Replacement
556,2024-12-31,570670,Paid Repaired
557,2023-06-11,295881,Repaired
558,2020-04-23,811471,Paid Repaired
559,2021-03-14,4629,Paid Repaired
560,2019-02-17,129939,Repaired
561,2019-02-24,929087,Replacement
562,2020-11-11,888402,Repaired
563,2024-09-08,409981,Replacement
564,2019-05-07,682313,Warranty Void
565,2020-11-10,718196,Warranty Void
566,2023-10-30,409039,Paid Repaired
567,2021-05-07,283293,Repaired
568,2024-12-31,231924,Repaired
569,2019-04-09,336042,Replacement
570,2022-09-15,174099,Repaired
571,2021-07-21,328228,In Progress
572,2019-11-09,857778,Paid Repaired
573,2024-12-31,881557,Repaired
574,2019-05-24,470010,Paid Repaired
575,2018-11-17,418189,In Progress
576,2019-01-15,734095,Replacement
577,2019-03-18,308070,Replacement
578,2022-04-18,855617,Repaired
579,2018-06-22,291725,Warranty Void
580,2021-07-13,559583,Warranty Void
581,2023-08-12,836440,Paid Repaired
582,2021-01-09,598512,Replacement
583,2018-12-24,639971,Replacement
584,2018-11-18,774487,Warranty Void
585,2020-10-16,564449,Repaired
586,2019-09-27,935631,Paid Repaired
587,2024-04-14,356201,Warranty Void
588,2021-04-22,161434,Paid Repaired
589,2024-12-31,352307,Paid Repaired
590,2018-11-19,200619,Repaired
591,2024-06-04,527528,Replacement
592,2023-11-22,204418,In Progress
593,2024-12-31,43667,Repaired
594,2019-01-12,142773,Replacement
595,2022-05-19,247902,Paid Repaired
596,2024-09-26,636869,Repaired
597,2021-06-15,549664,Warranty Void
598,2022-09-16,786409,Warranty Void
599,2019-09-09,324661,In Progress
600,2018-10-06,357599,Paid Repaired
601,2018-11-02,889549,Replacement
602,2022-08-12,674606,Repaired
603,2024-08-13,654140,Paid Repaired
604,2023-07-22,769590,Paid Repaired
605,2019-03-29,448756,Replacement
606,2022-04-25,247386,Paid Repaired
607,2019-01-20,871970,Repaired
608,2023-03-17,304141,Repaired
609,2019-11-16,844672,Paid Repaired
610,2023-12-12,63658,Paid Repaired
611,2024-07-29,987767,Paid Repaired
612,2024-12-07,645752,Paid Repaired
613,2022-01-13,301505,Paid Repaired
614,2024-06-22,391488,Repaired
615,2019-05-22,127997,Paid Repaired
616,2021-05-23,240139,Warranty Void
617,2024-12-31,320901,Warranty Void
618,2024-05-23,367533,Warranty Void
619,2020-02-12,78449,Paid Repaired
620,2023-04-18,631177,Replacement
621,2024-12-31,226961,Repaired
622,2019-12-06,77462,Replacement
623,2023-09-30,624079,Replacement
624,2019-06-08,177698,Paid Repaired
625,2019-01-18,513866,Replacement
626,2018-11-09,843911,In Progress
627,2022-12-06,410264,Repaired
628,2019-06-04,427835,Repaired
629,2022-09-14,291109,Paid Repaired
630,2019-02-14,996407,Paid Repaired
631,2023-05-22,81071,Replacement
632,2019-10-25,26879,Warranty Void
633,2019-10-08,927315,Paid Repaired
634,2020-08-27,264511,Repaired
635,2022-04-15,853235,Repaired
636,2023-05-18,925113,Paid Repaired
637,2020-10-12,722426,Paid Repaired
638,2023-06-27,135223,Replacement
639,2019-09-09,187489,Paid Repaired
640,2019-10-14,258232,Repaired
641,2018-07-08,481793,Paid Repaired
642,2020-03-05,390948,Warranty Void
643,2020-09-22,127151,Repaired
644,2020-11-27,896310,In Progress
645,2024-09-07,951530,Repaired
646,2021-07-08,754980,Paid Repaired
647,2022-04-05,181007,Paid Repaired
648,2019-08-26,212392,Repaired
649,2023-10-25,757561,Paid Repaired
650,2024-03-22,759521,Paid Repaired
651,2019-04-07,462081,Paid Repaired
652,2022-07-31,431810,Repaired
653,2018-03-25,942276,Warranty Void
654,2023-11-25,905403,Warranty Void
655,2019-08-11,574965,Paid Repaired
656,2023-09-16,214757,Replacement
657,2022-12-10,695018,Paid Repaired
658,2024-03-31,433879,Warranty Void
659,2019-02-13,662002,Repaired
660,2022-02-25,254242,Paid Repaired
661,2020-02-05,6958,Replacement
662,2022-11-12,391864,Paid Repaired
663,2021-02-04,30263,Replacement
664,2023-04-01,628110,Replacement
665,2020-10-10,621313,Repaired
666,2024-12-05,234668,Warranty Void
667,2024-09-01,716491,Repaired
668,2022-02-25,191475,Repaired
669,2019-05-30,219783,Warranty Void
670,2023-03-16,552960,Repaired
671,2023-06-16,574695,Paid Repaired
672,2019-07-25,730431,Repaired
673,2019-10-02,224808,Replacement
674,2021-02-14,87562,Repaired
675,2018-06-02,930042,Warranty Void
676,2023-12-18,746618,Replacement
677,2024-12-31,726784,In Progress
678,2020-07-20,845685,Paid Repaired
679,2020-05-18,882040,Repaired
680,2024-12-31,963206,Repaired
681,2019-01-15,433782,Paid Repaired
682,2021-01-06,751168,Replacement
683,2022-08-03,397589,Paid Repaired
684,2023-02-19,370355,Warranty Void
685,2024-02-08,611114,Replacement
686,2018-03-28,996587,In Progress
687,2022-05-04,921763,Repaired
688,2023-03-05,892950,Repaired
689,2018-10-28,526392,Paid Repaired
690,2021-08-04,255113,Warranty Void
691,2020-09-10,213970,Repaired
692,2020-12-12,603459,Paid Repaired
693,2019-02-13,867763,Repaired
694,2024-02-04,274346,Warranty Void
695,2024-06-02,955752,Paid Repaired
696,2021-11-30,631617,Paid Repaired
697,2021-04-05,166470,Paid Repaired
698,2024-12-31,91484,Repaired
699,2024-12-31,516956,Replacement
700,2023-08-06,987558,Replacement
701,2019-09-28,918016,Repaired
702,2022-10-06,676229,Repaired
703,2019-02-23,699190,Repaired
704,2018-10-05,729596,Paid Repaired
705,2021-04-06,711243,Repaired
706,2024-12-31,362860,Replacement
707,2024-10-29,682718,Paid Repaired
708,2024-08-19,425551,Repaired
709,2018-06-06,96697,Repaired
710,2024-12-31,123280,Replacement
711,2019-06-02,580492,Warranty Void
712,2019-03-09,68752,Warranty Void
713,2022-09-01,440733,Repaired
714,2018-07-04,365127,Repaired
715,2019-10-31,306192,Paid Repaired
716,2023-04-12,161111,Warranty Void
717,2024-08-31,293886,Warranty Void
718,2024-12-31,751235,Repaired
719,2023-10-10,717599,Replacement
720,2021-07-11,656612,Paid Repaired
721,2022-03-25,817667,Paid Repaired
722,2021-05-22,592006,In Progress
723,2019-11-05,752810,Replacement
724,2019-01-10,411945,Replacement
725,2020-05-07,716564,Warranty Void
726,2024-12-31,167231,Repaired
727,2020-09-16,586965,Repaired
728,2019-06-18,42859,Repaired
729,2024-07-20,175597,Repaired
730,2024-08-25,429442,Paid Repaired
731,2024-12-31,696044,Replacement
732,2024-07-11,888924,In Progress
733,2019-05-04,774462,Paid Repaired
734,2022-07-25,628197,Repaired
735,2019-12-12,25189,Warranty Void
736,2018-08-14,818829,In Progress
737,2021-02-27,241526,Paid Repaired
738,2018-09-18,997799,Paid Repaired
739,2022-05-24,61437,Repaired
740,2019-03-16,215827,Repaired
741,2023-07-25,562455,Paid Repaired
742,2022-05-10,706390,Repaired
743,2022-01-27,231805,Replacement
744,2021-08-02,541,Repaired
745,2018-10-19,584102,Paid Repaired
746,2021-01-18,593271,Repaired
747,2023-08-05,240110,Paid Repaired
748,2022-01-13,550083,Warranty Void
749,2024-01-11,958958,Paid Repaired
750,2020-11-21,85580,Paid Repaired
751,2023-04-26,557900,Paid Repaired
752,2021-08-18,46045,Repaired
753,2020-05-13,851324,Replacement
754,2024-12-31,286766,Paid Repaired
755,2018-12-12,245026,Replacement
756,2020-09-11,600845,Warranty Void
757,2023-01-12,660287,Paid Repaired
758,2023-07-03,22051,Paid Repaired
759,2023-09-04,377744,Repaired
760,2023-11-29,519356,Repaired
761,2024-09-20,924899,Repaired
762,2023-06-09,113154,Replacement
763,2023-06-22,486493,Repaired
764,2021-05-28,748152,Repaired
765,2023-12-24,945758,In Progress
766,2023-09-23,172250,Replacement
767,2019-08-09,256689,Paid Repaired
768,2019-06-24,968230,Warranty Void
769,2022-01-16,415783,Paid Repaired
